symbol,Date,Open,High,Low,Close,Adj Close,Volume
MSFT,28/8/23,325.660004,326.149994,321.720001,323.700012,323.044342,14808500
MSFT,29/8/23,321.880005,328.980011,321.880005,328.410004,327.744781,19284600
MSFT,30/8/23,328.670013,329.809998,326.450012,328.790009,328.124023,15222100
MSFT,31/8/23,329.200012,330.910004,326.779999,327.76001,327.09613,26411000
MSFT,1/9/23,331.309998,331.98999,326.779999,328.660004,327.994293,14931200
MSFT,5/9/23,329,334.850006,328.660004,333.549988,332.874359,18553900
MSFT,6/9/23,333.380005,334.459991,330.179993,332.880005,332.20575,17535800
MSFT,7/9/23,331.290009,333.079987,329.029999,329.910004,329.24176,18381000
MSFT,8/9/23,330.089996,336.160004,329.459991,334.269989,333.592896,19530100
MSFT,11/9/23,337.23999,338.420013,335.429993,337.940002,337.255493,16583300
MSFT,12/9/23,335.820007,336.790009,331.480011,331.769989,331.097961,17565500
MSFT,13/9/23,331.309998,336.850006,331.170013,336.059998,335.379303,16544400
MSFT,14/9/23,339.149994,340.859985,336.570007,338.700012,338.013947,20267000
MSFT,15/9/23,336.920013,337.399994,329.649994,330.220001,329.551117,37666900
MSFT,18/9/23,327.799988,330.399994,326.359985,329.059998,328.393463,16834200
MSFT,19/9/23,326.170013,329.390015,324.51001,328.649994,327.984283,16505900
MSFT,20/9/23,329.51001,329.589996,320.51001,320.769989,320.12027,21436500
MSFT,21/9/23,319.26001,325.350006,315,319.529999,318.882782,35529500
MSFT,22/9/23,321.320007,321.450012,316.149994,317.01001,316.367889,21447900
MSFT,25/9/23,316.589996,317.670013,315,317.540009,316.89682,17836000
MSFT,26/9/23,315.130005,315.880005,310.019989,312.140015,311.507751,26297600
MSFT,27/9/23,312.299988,314.299988,309.690002,312.790009,312.156433,19410100
MSFT,28/9/23,310.98999,315.480011,309.450012,313.640015,313.00473,19683600
MSFT,29/9/23,317.75,319.470001,314.980011,315.75,315.110443,24140300
MSFT,2/10/23,316.279999,321.890015,315.179993,321.799988,321.148163,20570000
MSFT,3/10/23,320.829987,321.390015,311.209991,313.390015,312.755219,21033500
MSFT,4/10/23,314.029999,320.040009,314,318.959991,318.313934,20720100
MSFT,5/10/23,319.089996,319.980011,314.899994,319.359985,318.713104,16965600
MSFT,6/10/23,316.549988,329.190002,316.299988,327.26001,326.597137,25645500
MSFT,9/10/23,324.75,330.299988,323.179993,329.820007,329.151947,19891200
MSFT,10/10/23,330.959991,331.100006,327.670013,328.390015,327.724854,20557100
MSFT,11/10/23,331.209991,332.820007,329.140015,332.420013,331.746674,20063200
MSFT,12/10/23,330.570007,333.630005,328.720001,331.160004,330.489227,19313100
MSFT,13/10/23,332.380005,333.829987,326.359985,327.730011,327.066193,21072400
MSFT,16/10/23,331.049988,336.140015,330.600006,332.640015,331.966248,22158000
MSFT,17/10/23,329.589996,333.459991,327.410004,332.059998,331.38739,18338500
MSFT,18/10/23,332.48999,335.589996,328.299988,330.109985,329.441345,23153600
MSFT,19/10/23,332.149994,336.880005,330.910004,331.320007,330.648895,25052100
MSFT,20/10/23,331.720001,331.920013,325.450012,326.670013,326.008331,25012600
MSFT,23/10/23,325.470001,332.730011,324.390015,329.320007,328.652954,24374700
MSFT,24/10/23,331.299988,331.839996,327.600006,330.529999,329.860504,31153600
MSFT,25/10/23,345.019989,346.200012,337.619995,340.670013,339.97998,55053800
MSFT,26/10/23,340.540009,341.630005,326.940002,327.890015,327.225861,37828500
MSFT,27/10/23,330.429993,336.720001,328.399994,329.809998,329.141968,29856500
MSFT,30/10/23,333.410004,339.450012,331.829987,337.309998,336.62677,22828100
MSFT,31/10/23,338.850006,339,334.690002,338.109985,337.42514,20265300
MSFT,1/11/23,339.790009,347.420013,339.649994,346.070007,345.369019,28158800
MSFT,2/11/23,347.23999,348.829987,344.769989,348.320007,347.614471,24348100
MSFT,3/11/23,349.630005,354.390015,347.329987,352.799988,352.085388,23624000
MSFT,6/11/23,353.450012,357.540009,353.350006,356.529999,355.807831,23828300
MSFT,7/11/23,359.399994,362.459991,357.630005,360.529999,359.799744,25833900
